account	&#xF101;
account-alert	&#xF102;
account-box	&#xF103;
account-box-outline	&#xF104;
account-check	&#xF105;
account-circle	&#xF106;
account-key	&#xF107;
account-location	&#xF108;
account-minus	&#xF109;
account-multiple	&#xF10A;
account-multiple-outline	&#xF10B;
account-multiple-plus	&#xF10C;
account-network	&#xF10D;
account-outline	&#xF10E;
account-plus	&#xF10F;
account-remove	&#xF110;
account-search	&#xF111;
account-star	&#xF112;
account-star-variant	&#xF113;
account-switch	&#xF114;
airballoon	&#xF115;
airplane	&#xF116;
airplane-off	&#xF117;
alarm	&#xF118;
alarm-check	&#xF119;
alarm-multiple	&#xF11A;
alarm-off	&#xF11B;
alarm-plus	&#xF11C;
album	&#xF11D;
alert	&#xF11E;
alert-box	&#xF11F;
alert-circle	&#xF120;
alert-octagon	&#xF121;
alpha	&#xF122;
alphabetical	&#xF123;
amazon	&#xF124;
amazon-clouddrive	&#xF125;
ambulance	&#xF126;
android	&#xF127;
android-debug-bridge	&#xF128;
android-studio	&#xF129;
apple	&#xF12A;
apple-finder	&#xF12B;
apple-mobileme	&#xF12C;
apple-safari	&#xF12D;
appnet	&#xF12E;
apps	&#xF12F;
archive	&#xF130;
arrange-bring-forward	&#xF131;
arrange-bring-to-front	&#xF132;
arrange-send-backward	&#xF133;
arrange-send-to-back	&#xF134;
arrow-all	&#xF135;
arrow-bottom-left	&#xF136;
arrow-bottom-right	&#xF137;
arrow-collapse	&#xF138;
arrow-down	&#xF139;
arrow-down-bold	&#xF13A;
arrow-down-bold-circle	&#xF13B;
arrow-down-bold-circle-outline	&#xF13C;
arrow-down-bold-hexagon-outline	&#xF13D;
arrow-expand	&#xF13E;
arrow-left	&#xF13F;
arrow-left-bold	&#xF140;
arrow-left-bold-circle	&#xF141;
arrow-left-bold-circle-outline	&#xF142;
arrow-left-bold-hexagon-outline	&#xF143;
arrow-right	&#xF144;
arrow-right-bold	&#xF145;
arrow-right-bold-circle	&#xF146;
arrow-right-bold-circle-outline	&#xF147;
arrow-right-bold-hexagon-outline	&#xF148;
arrow-top-left	&#xF149;
arrow-top-right	&#xF14A;
arrow-up	&#xF14B;
arrow-up-bold	&#xF14C;
arrow-up-bold-circle	&#xF14D;
arrow-up-bold-circle-outline	&#xF14E;
arrow-up-bold-hexagon-outline	&#xF14F;
at	&#xF150;
attachment	&#xF151;
audiobook	&#xF152;
auto-fix	&#xF153;
auto-upload	&#xF154;
backburger	&#xF155;
backup-restore	&#xF156;
bank	&#xF157;
barcode	&#xF158;
barley	&#xF159;
barrel	&#xF15A;
basecamp	&#xF15B;
basket	&#xF15C;
basket-fill	&#xF15D;
basket-unfill	&#xF15E;
battery	&#xF15F;
battery-20	&#xF160;
battery-30	&#xF161;
battery-40	&#xF162;
battery-60	&#xF163;
battery-80	&#xF164;
battery-90	&#xF165;
battery-alert	&#xF166;
battery-charging-100	&#xF167;
battery-charging-20	&#xF168;
battery-charging-30	&#xF169;
battery-charging-40	&#xF16A;
battery-charging-60	&#xF16B;
battery-charging-80	&#xF16C;
battery-charging-90	&#xF16D;
battery-minus	&#xF16E;
battery-negative	&#xF16F;
battery-outline	&#xF170;
battery-plus	&#xF171;
battery-positive	&#xF172;
battery-unknown	&#xF173;
beach	&#xF174;
beaker	&#xF175;
beaker-empty	&#xF176;
beaker-empty-outline	&#xF177;
beaker-outline	&#xF178;
beats	&#xF179;
beer	&#xF17A;
behance	&#xF17B;
bell	&#xF17C;
bell-off	&#xF17D;
bell-outline	&#xF17E;
bell-ring	&#xF17F;
bell-ring-outline	&#xF180;
bell-sleep	&#xF181;
beta	&#xF182;
bike	&#xF183;
bing	&#xF184;
binoculars	&#xF185;
bio	&#xF186;
biohazard	&#xF187;
black-mesa	&#xF188;
blackberry	&#xF189;
blinds	&#xF18A;
block-helper	&#xF18B;
blogger	&#xF18C;
bluetooth	&#xF18D;
bluetooth-audio	&#xF18E;
bluetooth-connect	&#xF18F;
bluetooth-settings	&#xF190;
blur	&#xF191;
blur-linear	&#xF192;
blur-off	&#xF193;
blur-radial	&#xF194;
bone	&#xF195;
book	&#xF196;
book-multiple	&#xF197;
book-multiple-variant	&#xF198;
book-open	&#xF199;
book-variant	&#xF19A;
bookmark	&#xF19B;
bookmark-check	&#xF19C;
bookmark-music	&#xF19D;
bookmark-outline	&#xF19E;
bookmark-outline-plus	&#xF19F;
bookmark-plus	&#xF1A0;
bookmark-remove	&#xF1A1;
border-all	&#xF1A2;
border-bottom	&#xF1A3;
border-color	&#xF1A4;
border-horizontal	&#xF1A5;
border-inside	&#xF1A6;
border-left	&#xF1A7;
border-none	&#xF1A8;
border-outside	&#xF1A9;
border-right	&#xF1AA;
border-top	&#xF1AB;
border-vertical	&#xF1AC;
bowling	&#xF1AD;
box	&#xF1AE;
briefcase	&#xF1AF;
briefcase-check	&#xF1B0;
briefcase-download	&#xF1B1;
briefcase-upload	&#xF1B2;
brightness-1	&#xF1B3;
brightness-2	&#xF1B4;
brightness-3	&#xF1B5;
brightness-4	&#xF1B6;
brightness-5	&#xF1B7;
brightness-6	&#xF1B8;
brightness-7	&#xF1B9;
brightness-auto	&#xF1BA;
broom	&#xF1BB;
brush	&#xF1BC;
bug	&#xF1BD;
bullhorn	&#xF1BE;
bus	&#xF1BF;
cake	&#xF1C0;
cake-variant	&#xF1C1;
calculator	&#xF1C2;
calendar	&#xF1C3;
calendar-blank	&#xF1C4;
calendar-check	&#xF1C5;
calendar-clock	&#xF1C6;
calendar-multiple	&#xF1C7;
calendar-multiple-check	&#xF1C8;
calendar-plus	&#xF1C9;
calendar-remove	&#xF1CA;
calendar-text	&#xF1CB;
calendar-today	&#xF1CC;
camcorder	&#xF1CD;
camcorder-box	&#xF1CE;
camcorder-box-off	&#xF1CF;
camcorder-off	&#xF1D0;
camera	&#xF1D1;
camera-iris	&#xF1D2;
camera-party-mode	&#xF1D3;
camera-switch	&#xF1D4;
camera-timer	&#xF1D5;
candycane	&#xF1D6;
car	&#xF1D7;
car-wash	&#xF1D8;
carrot	&#xF1D9;
cart	&#xF1DA;
cart-outline	&#xF1DB;
cash	&#xF1DC;
cash-multiple	&#xF1DD;
cash-usd	&#xF1DE;
cast	&#xF1DF;
cast-connected	&#xF1E0;
castle	&#xF1E1;
cat	&#xF1E2;
cellphone	&#xF1E3;
cellphone-android	&#xF1E4;
cellphone-dock	&#xF1E5;
cellphone-iphone	&#xF1E6;
cellphone-link	&#xF1E7;
cellphone-link-off	&#xF1E8;
cellphone-settings	&#xF1E9;
chair-school	&#xF1EA;
chart-arc	&#xF1EB;
chart-areaspline	&#xF1EC;
chart-bar	&#xF1ED;
chart-histogram	&#xF1EE;
chart-line	&#xF1EF;
chart-pie	&#xF1F0;
check	&#xF1F1;
check-all	&#xF1F2;
checkbox-blank	&#xF1F3;
checkbox-blank-circle	&#xF1F4;
checkbox-blank-circle-outline	&#xF1F5;
checkbox-blank-outline	&#xF1F6;
checkbox-marked	&#xF1F7;
checkbox-marked-circle	&#xF1F8;
checkbox-marked-circle-outline	&#xF1F9;
checkbox-marked-outline	&#xF1FA;
checkbox-multiple-blank	&#xF1FB;
checkbox-multiple-blank-outline	&#xF1FC;
checkbox-multiple-marked	&#xF1FD;
checkbox-multiple-marked-outline	&#xF1FE;
checkerboard	&#xF1FF;
chevron-double-down	&#xF200;
chevron-double-left	&#xF201;
chevron-double-right	&#xF202;
chevron-double-up	&#xF203;
chevron-down	&#xF204;
chevron-left	&#xF205;
chevron-right	&#xF206;
chevron-up	&#xF207;
church	&#xF208;
cisco-webex	&#xF209;
city	&#xF20A;
clipboard	&#xF20B;
clipboard-account	&#xF20C;
clipboard-alert	&#xF20D;
clipboard-arrow-down	&#xF20E;
clipboard-arrow-left	&#xF20F;
clipboard-check	&#xF210;
clipboard-outline	&#xF211;
clipboard-text	&#xF212;
clippy	&#xF213;
clock	&#xF214;
clock-fast	&#xF215;
close	&#xF216;
close-box	&#xF217;
close-box-outline	&#xF218;
close-circle	&#xF219;
close-circle-outline	&#xF21A;
close-network	&#xF21B;
closed-caption	&#xF21C;
cloud	&#xF21D;
cloud-check	&#xF21E;
cloud-circle	&#xF21F;
cloud-download	&#xF220;
cloud-outline	&#xF221;
cloud-outline-off	&#xF222;
cloud-upload	&#xF223;
code-array	&#xF224;
code-string	&#xF225;
codepen	&#xF226;
coffee	&#xF227;
coffee-to-go	&#xF228;
coin	&#xF229;
color-helper	&#xF22A;
comment	&#xF22B;
comment-account	&#xF22C;
comment-account-outline	&#xF22D;
comment-alert	&#xF22E;
comment-alert-outline	&#xF22F;
comment-check	&#xF230;
comment-check-outline	&#xF231;
comment-multiple-outline	&#xF232;
comment-outline	&#xF233;
comment-plus-outline	&#xF234;
comment-processing	&#xF235;
comment-processing-outline	&#xF236;
comment-remove-outline	&#xF237;
comment-text	&#xF238;
comment-text-outline	&#xF239;
compare	&#xF23A;
compass	&#xF23B;
compass-outline	&#xF23C;
console	&#xF23D;
content-copy	&#xF23E;
content-cut	&#xF23F;
content-paste	&#xF240;
content-save	&#xF241;
content-save-all	&#xF242;
contrast	&#xF243;
contrast-box	&#xF244;
contrast-circle	&#xF245;
cow	&#xF246;
credit-card	&#xF247;
credit-card-multiple	&#xF248;
crop	&#xF249;
crop-free	&#xF24A;
crop-landscape	&#xF24B;
crop-portrait	&#xF24C;
crop-square	&#xF24D;
crosshairs	&#xF24E;
crosshairs-gps	&#xF24F;
crown	&#xF250;
cube	&#xF251;
cube-outline	&#xF252;
cube-unfolded	&#xF253;
cup	&#xF254;
cup-water	&#xF255;
currency-btc	&#xF256;
currency-eur	&#xF257;
currency-gbp	&#xF258;
currency-inr	&#xF259;
currency-rub	&#xF25A;
currency-try	&#xF25B;
currency-usd	&#xF25C;
cursor-default	&#xF25D;
cursor-default-outline	&#xF25E;
cursor-move	&#xF25F;
cursor-pointer	&#xF260;
database	&#xF261;
database-minus	&#xF262;
database-outline	&#xF263;
database-plus	&#xF264;
debug-step-into	&#xF265;
debug-step-out	&#xF266;
debug-step-over	&#xF267;
delete	&#xF268;
delete-variant	&#xF269;
deskphone	&#xF26A;
desktop-mac	&#xF26B;
desktop-tower	&#xF26C;
details	&#xF26D;
deviantart	&#xF26E;
dice	&#xF26F;
dice-1	&#xF270;
dice-2	&#xF271;
dice-3	&#xF272;
dice-4	&#xF273;
dice-5	&#xF274;
dice-6	&#xF275;
directions	&#xF276;
disk-alert	&#xF277;
disqus	&#xF278;
disqus-outline	&#xF279;
division	&#xF27A;
division-box	&#xF27B;
dns	&#xF27C;
domain	&#xF27D;
dots-horizontal	&#xF27E;
dots-vertical	&#xF27F;
download	&#xF280;
drag	&#xF281;
drag-horizontal	&#xF282;
drag-vertical	&#xF283;
drawing	&#xF284;
drawing-box	&#xF285;
dribbble	&#xF286;
dribbble-box	&#xF287;
drone	&#xF288;
dropbox	&#xF289;
duck	&#xF28A;
dumbbell	&#xF28B;
earth	&#xF28C;
earth-off	&#xF28D;
edge	&#xF28E;
elevation-decline	&#xF28F;
elevation-rise	&#xF290;
elevator	&#xF291;
email	&#xF292;
email-open	&#xF293;
email-outline	&#xF294;
emoticon	&#xF295;
emoticon-cool	&#xF296;
emoticon-devil	&#xF297;
emoticon-happy	&#xF298;
emoticon-neutral	&#xF299;
emoticon-poop	&#xF29A;
emoticon-sad	&#xF29B;
emoticon-tongue	&#xF29C;
equal	&#xF29D;
equal-box	&#xF29E;
eraser	&#xF29F;
escalator	&#xF2A0;
etsy	&#xF2A1;
evernote	&#xF2A2;
exclamation	&#xF2A3;
exit-to-app	&#xF2A4;
export	&#xF2A5;
eye	&#xF2A6;
eye-off	&#xF2A7;
eyedropper	&#xF2A8;
eyedropper-variant	&#xF2A9;
facebook	&#xF2AA;
facebook-box	&#xF2AB;
facebook-messenger	&#xF2AC;
factory	&#xF2AD;
fan	&#xF2AE;
fast-forward	&#xF2AF;
ferry	&#xF2B0;
file	&#xF2B1;
file-cloud	&#xF2B2;
file-delimited	&#xF2B3;
file-document	&#xF2B4;
file-document-box	&#xF2B5;
file-excel	&#xF2B6;
file-excel-box	&#xF2B7;
file-find	&#xF2B8;
file-image	&#xF2B9;
file-image-box	&#xF2BA;
file-music	&#xF2BB;
file-outline	&#xF2BC;
file-pdf	&#xF2BD;
file-pdf-box	&#xF2BE;
file-powerpoint	&#xF2BF;
file-powerpoint-box	&#xF2C0;
file-presentation-box	&#xF2C1;
file-video	&#xF2C2;
file-word	&#xF2C3;
file-word-box	&#xF2C4;
file-xml	&#xF2C5;
film	&#xF2C6;
filmstrip	&#xF2C7;
filmstrip-off	&#xF2C8;
filter	&#xF2C9;
filter-outline	&#xF2CA;
filter-remove	&#xF2CB;
filter-remove-outline	&#xF2CC;
filter-variant	&#xF2CD;
fire	&#xF2CE;
firefox	&#xF2CF;
fish	&#xF2D0;
flag	&#xF2D1;
flag-checkered	&#xF2D2;
flag-outline	&#xF2D3;
flag-outline-variant	&#xF2D4;
flag-triangle	&#xF2D5;
flag-variant	&#xF2D6;
flash	&#xF2D7;
flash-auto	&#xF2D8;
flash-off	&#xF2D9;
flashlight	&#xF2DA;
flashlight-off	&#xF2DB;
flattr	&#xF2DC;
flip-to-back	&#xF2DD;
flip-to-front	&#xF2DE;
floppy	&#xF2DF;
flower	&#xF2E0;
folder	&#xF2E1;
folder-account	&#xF2E2;
folder-download	&#xF2E3;
folder-google-drive	&#xF2E4;
folder-image	&#xF2E5;
folder-lock	&#xF2E6;
folder-lock-open	&#xF2E7;
folder-move	&#xF2E8;
folder-multiple	&#xF2E9;
folder-multiple-image	&#xF2EA;
folder-multiple-outline	&#xF2EB;
folder-outline	&#xF2EC;
